"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","STINTFORECAST","TOT","PC_PA","A","1978",7.12916666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1979",11.0125,
"BEL","STINTFORECAST","TOT","PC_PA","A","1980",14.0291666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1981",15.2708333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1982",13.9708333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1983",10.4,
"BEL","STINTFORECAST","TOT","PC_PA","A","1984",11.4208333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","1985",9.51666666666668,
"BEL","STINTFORECAST","TOT","PC_PA","A","1986",8.08333333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1987",7.05416666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1988",6.72916666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1989",8.8,
"BEL","STINTFORECAST","TOT","PC_PA","A","1990",9.63333333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1991",9.3825,
"BEL","STINTFORECAST","TOT","PC_PA","A","1992",9.37083333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","1993",8.22416666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1994",5.695,
"BEL","STINTFORECAST","TOT","PC_PA","A","1995",4.78333333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1996",3.21666666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1997",3.43666666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","1998",3.55833333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","1999",2.9635,
"BEL","STINTFORECAST","TOT","PC_PA","A","2000",4.39176666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2001",4.26178333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2002",3.31859166666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2003",2.33346666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2004",2.106325,
"BEL","STINTFORECAST","TOT","PC_PA","A","2005",2.184675,
"BEL","STINTFORECAST","TOT","PC_PA","A","2006",3.079225,
"BEL","STINTFORECAST","TOT","PC_PA","A","2007",4.27760833333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2008",4.63423333333334,
"BEL","STINTFORECAST","TOT","PC_PA","A","2009",1.22835833333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2010",0.810950000000001,
"BEL","STINTFORECAST","TOT","PC_PA","A","2011",1.3906,
"BEL","STINTFORECAST","TOT","PC_PA","A","2012",0.573183333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2013",0.220666666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2014",0.209933333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2015",-0.0193666666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2016",-0.263691666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2017",-0.32905,
"BEL","STINTFORECAST","TOT","PC_PA","A","2018",-0.322091666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2019",-0.356333333333333,
"BEL","STINTFORECAST","TOT","PC_PA","A","2020",-0.42515,
"BEL","STINTFORECAST","TOT","PC_PA","A","2021",-0.548766666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2022",0.341566666666666,
"BEL","STINTFORECAST","TOT","PC_PA","A","2023",3.385775,
"BEL","STINTFORECAST","TOT","PC_PA","A","2024",3.77736666666667,
"BEL","STINTFORECAST","TOT","PC_PA","A","2025",3.52736666666667,
"CAN","STINTFORECAST","TOT","PC_PA","A","1960",3.99666666666667,
"CAN","STINTFORECAST","TOT","PC_PA","A","1961",3.3675,
"CAN","STINTFORECAST","TOT","PC_PA","A","1962",4.31620833333334,
